participantID,taskID,Condition,Accuracy,Time,Order,Confidence,Difficulty,Answer
545d6768fdf99b7f9fca24e3,S-task01,nodeLink,1,0.6666666666666666,4,6,2,
545d6768fdf99b7f9fca24e3,S-task16,nodeLink,1,1.1666666666666667,15,2,6,Lace has a young account with a lot of followers compared to the older ones.
545d6768fdf99b7f9fca24e3,S-task10,nodeLink,0.75,0.7666666666666667,1,6,3,
545d6768fdf99b7f9fca24e3,S-task08,nodeLink,1,0.95,11,6,3,
545d6768fdf99b7f9fca24e3,S-task05,nodeLink,1,0.55,8,7,1,
545d6768fdf99b7f9fca24e3,S-task09,nodeLink,1,0.5166666666666667,9,6,2,4
545d6768fdf99b7f9fca24e3,S-task13,nodeLink,1,1.1666666666666667,14,6,2,
545d6768fdf99b7f9fca24e3,S-task04,nodeLink,1,0.26666666666666666,10,5,2,
545d6768fdf99b7f9fca24e3,S-task12,nodeLink,0,2.1333333333333333,12,3,4,900
545d6768fdf99b7f9fca24e3,S-task02,nodeLink,0,0.6833333333333333,5,4,3,
545d6768fdf99b7f9fca24e3,S-task03,nodeLink,0.5,1.2,6,3,5,
545d6768fdf99b7f9fca24e3,S-task07,nodeLink,1,0.9333333333333333,13,4,3,
545d6768fdf99b7f9fca24e3,S-task06,nodeLink,1,0.6333333333333333,2,5,3,
545d6768fdf99b7f9fca24e3,S-task11,nodeLink,1,2.8333333333333335,7,6,3,
545d6768fdf99b7f9fca24e3,S-task14,nodeLink,1,1.4,3,5,4,
545d6768fdf99b7f9fca24e3,S-task15,nodeLink,1,2.933333333333333,0,3,7,
546e3c21fdf99b2b8df983fd,S-task07,adjMatrix,1,2.2666666666666666,2,5,6,
546e3c21fdf99b2b8df983fd,S-task13,adjMatrix,1,0.4,13,7,1,
546e3c21fdf99b2b8df983fd,S-task12,adjMatrix,0.4580164154691785,32.25,7,1,7,700
546e3c21fdf99b2b8df983fd,S-task15,adjMatrix,0,1.45,5,1,7,
546e3c21fdf99b2b8df983fd,S-task11,adjMatrix,1,0.55,10,7,1,
546e3c21fdf99b2b8df983fd,S-task09,adjMatrix,1,0.9,0,7,7,4
546e3c21fdf99b2b8df983fd,S-task06,adjMatrix,1,0.8666666666666667,1,7,4,
546e3c21fdf99b2b8df983fd,S-task02,adjMatrix,1,0.36666666666666664,12,7,1,
546e3c21fdf99b2b8df983fd,S-task08,adjMatrix,0.5,1.5166666666666666,3,7,3,
546e3c21fdf99b2b8df983fd,S-task14,adjMatrix,1,1.2833333333333334,8,7,1,
546e3c21fdf99b2b8df983fd,S-task10,adjMatrix,1,1.6,6,7,4,
546e3c21fdf99b2b8df983fd,S-task16,adjMatrix,1,1.2,15,7,1,MViews has one of the newest accounts yet among the most followers.
546e3c21fdf99b2b8df983fd,S-task04,adjMatrix,1,1.15,4,7,1,
546e3c21fdf99b2b8df983fd,S-task01,adjMatrix,1,0.3,9,7,1,
546e3c21fdf99b2b8df983fd,S-task05,adjMatrix,1,0.48333333333333334,11,7,1,
546e3c21fdf99b2b8df983fd,S-task03,adjMatrix,0,1.5666666666666667,14,4,6,
5588d7a1fdf99b304ee56840,S-task12,nodeLink,0,1.5166666666666666,2,2,7,500
5588d7a1fdf99b304ee56840,S-task16,nodeLink,1,2.3333333333333335,15,1,7,Not really. Robert seems to have many links. Sereno has not too many followers or tweets. Mostly Europeans
5588d7a1fdf99b304ee56840,S-task13,nodeLink,1,1.15,10,2,6,
5588d7a1fdf99b304ee56840,S-task14,nodeLink,1,0.7833333333333333,1,5,3,
5588d7a1fdf99b304ee56840,S-task11,nodeLink,1,0.6,9,7,1,
5588d7a1fdf99b304ee56840,S-task08,nodeLink,1,2.783333333333333,3,5,5,
5588d7a1fdf99b304ee56840,S-task04,nodeLink,1,0.36666666666666664,11,6,6,
5588d7a1fdf99b304ee56840,S-task02,nodeLink,1,1.6833333333333333,14,7,4,
5588d7a1fdf99b304ee56840,S-task06,nodeLink,1,1.05,4,3,2,
5588d7a1fdf99b304ee56840,S-task15,nodeLink,1,0.75,7,1,2,
5588d7a1fdf99b304ee56840,S-task01,nodeLink,1,1.0833333333333333,6,5,2,
5588d7a1fdf99b304ee56840,S-task03,nodeLink,0.5,1,13,1,6,
5588d7a1fdf99b304ee56840,S-task10,nodeLink,1,1.1,8,6,2,
5588d7a1fdf99b304ee56840,S-task09,nodeLink,1,0.5333333333333333,5,7,2,4
5588d7a1fdf99b304ee56840,S-task05,nodeLink,1,0.7,0,6,2,
5588d7a1fdf99b304ee56840,S-task07,nodeLink,0.5,1.5166666666666666,12,6,3,
55894f58fdf99b5ccca3c2f7,S-task03,nodeLink,0,6.833333333333333,3,5,3,
55894f58fdf99b5ccca3c2f7,S-task11,nodeLink,1,0.48333333333333334,9,7,1,
55894f58fdf99b5ccca3c2f7,S-task07,nodeLink,1,1.7333333333333334,8,7,1,
55894f58fdf99b5ccca3c2f7,S-task10,nodeLink,1,0.7,7,7,1,
55894f58fdf99b5ccca3c2f7,S-task02,nodeLink,1,1.9666666666666666,13,7,2,
55894f58fdf99b5ccca3c2f7,S-task06,nodeLink,1,0.9333333333333333,1,7,1,
55894f58fdf99b5ccca3c2f7,S-task09,nodeLink,1,0.7666666666666667,4,7,1,4
55894f58fdf99b5ccca3c2f7,S-task01,nodeLink,1,0.7,10,7,1,
55894f58fdf99b5ccca3c2f7,S-task13,nodeLink,1,1.0833333333333333,12,7,1,
55894f58fdf99b5ccca3c2f7,S-task08,nodeLink,1,5.066666666666666,0,7,1,
55894f58fdf99b5ccca3c2f7,S-task04,nodeLink,1,0.35,11,7,1,
